Index,country,year,delta_Lnrgdpo,delta_Lnlabor_stock,delta_Lncapital_stock,delta_RL,delta_GS,delta_RE,delta_MO
1,Austria,2001,-0.0229522165426008,0.00478967965086063,0.0251917848763004,0.5,0,0.599999999999994,-1.6666666666666
2,Austria,2002,0.0208678157805995,0.00238266644822893,0.0211697414480003,0.5,-2.9,-1.59999999999999,0.533333333333303
3,Austria,2003,0.0245734790940997,0.00690949794376117,0.0223130314182995,0.5,0.25,-0.650000000000006,0.599999999999994
4,Austria,2004,0.0392526265165003,0.0116143524553003,0.0213116131752003,0,0.300000000000001,0.400000000000006,-0.533333333333303
5,Austria,2005,0.0904266698822003,0.00122653529800942,0.020197769674299,1,1.25,-1.0833333333333,0.133333333333312
6,Austria,2006,0.0194459530854001,0.0117870259767603,0.0196572801865997,2,3.2,3.5,0.733333333333292
7,Austria,2007,0.0336137552114,0.0171757885515493,0.0212993679763009,1.5,0.799999999999997,-1.10000000000001,1.40000000000001
8,Austria,2008,0.0356921471543998,0.0198451088553995,0.0208359163739988,-0.5,0.7468,-0.766160709999994,-0.200000000000003
9,Austria,2009,-0.0456123991281991,-0.0250426556504983,0.0150613253135017,-2.5,0.253050000000002,0.888193096666598,-0.066666666666606
10,Austria,2010,0.0319185268661997,0.0104141530938993,0.0129405927948998,0,1.50015,-2.05536572,2.23333333333331
11,Austria,2011,0.0434304835125996,0.0240033064012994,0.0153332384548985,-1,-0.850000000000001,0.633333333333397,1.7
12,Austria,2012,0.0180525311892996,0.000429639265600912,0.0146197844358014,0,-6.2,-1.09999999999999,-0.133333333333297
13,Austria,2013,-0.0129633276271992,-0.00245092405780056,0.0143754372411991,-0.5,4.34999999999999,0.899999999999992,1.53333333333329
14,Austria,2014,0.045543851577099,0.00534266681339979,0.0130865638362998,-1.25,-0.0499999999999972,1,2
15,Austria,2015,0.0173333657336006,-0.00469177124080034,0.0136390175882006,-3.25,-2.3,-0.433333333333394,0.0666666666667055
16,Austria,2016,0.0128453348206001,0.0212943072000016,0.0147650313249006,1.5,1.59999999999999,-0.466666666666598,0
17,Austria,2017,0.0492943554160004,0.0147877839846,0.0157171078333,0,13.2166666666667,-1.90000000000001,-0.3333333333334
18,Austria,2018,0.0274000376914003,0.0263181989996983,0.0164672077391987,-1.7,0.366666666666596,-0.6666666666667,-0.033333333333303
19,Austria,2019,0.0142196766211988,0.0161299391231005,0.017274456549,-1.6666666666667,3.3666666666667,-0.266666666666595,-0.299999999999997
21,Belgium,2001,0.00543010393579912,0.0150989146902809,0.0266665480145996,-0.5,1.6,0.200000000000003,0.0666666666667055
22,Belgium,2002,0.0274160210161014,0.0163425816714788,0.0210369456066015,4,3.25,-1.15000000000001,7.2
23,Belgium,2003,0.0430592636854001,0.00925546021169055,0.0192772905650997,2.5,-0.600000000000001,-0.400000000000006,0.599999999999994
24,Belgium,2004,0.025597712373699,0.0111059199572896,0.0230833196211986,2.5,3.05,-1.94999999999999,-0.533333333333403
25,Belgium,2005,0.1115223819425,0.0149873255420498,0.0249784270949007,2.5,-1.25,-2.38333333333331,0.133333333333411
26,Belgium,2006,-0.0285088639845998,0.0218491098561611,0.0243220168103004,-0.5,2.75,6.93333333333331,0.733333333333292
27,Belgium,2007,0.03024053605,0.01933518128671,0.0273079750861989,-5.5,0.5,1.09999999999999,4.73333333333341
28,Belgium,2008,0.0835488392549006,0.0118401400404391,0.0263666895221011,-0.5,-4.3544,0.585929483333302,-0.200000000000102
29,Belgium,2009,-0.0339802429186999,-0.0128977259063188,0.0203334643454003,-1,3.955389995,-0.317196629999998,-0.066666666666606
30,Belgium,2010,0.0796545203498997,0.0105591838963797,0.0195856658222002,1,1.199010005,-2.2687328533333,-6.09999999999999
31,Belgium,2011,-0.00322834559390017,0.0217553382264288,0.0214926704056992,-1,-2.7,2.73333333333331,0.033333333333303
32,Belgium,2012,0.0082847536026005,0.00467372090280094,0.0207197116417994,0,-4.95,-0.433333333333309,-0.1666666666667
33,Belgium,2013,-0.00254415044489953,-0.000543838113200579,0.018336421497601,2,1.3,-1.36666666666669,-0.100000000000009
34,Belgium,2014,0.00554364668739993,0.0050085349347011,0.0205680017354997,-0.400000000000006,0.0500000000000007,0.466666666666697,2
35,Belgium,2015,-0.0186931454188013,0.00699048274809933,0.0213865641953994,0.400000000000006,-2.9,-2,0.0666666666667055
36,Belgium,2016,0.0179629591502,0.0144673540062001,0.0221824871159999,0.5,0.700000000000003,-2.06666666666671,0
37,Belgium,2017,0.0449706594749006,0.0224208956498995,0.0212959758854012,-3.3,12.4,-0.633333333333297,-0.3333333333333
38,Belgium,2018,-0.0156981204815008,0.0200175697186999,0.0218782261129,-0.8333333333333,1.3333333333333,-1.76666666666669,-0.0333333333334025
39,Belgium,2019,0.0192137745796011,0.0209118748066004,0.0223867606664001,-2.06666666666671,3.9,-2.5,-0.299999999999997
41,Bulgaria,2001,0.0225905820415004,-0.0283387219690798,0.0765083639471005,2,1.55,13.1,2.4666666666667
42,Bulgaria,2002,0.0363503785302992,0.0217782263393307,0.0706414196912988,1,-3.75,24.8,1
43,Bulgaria,2003,0.0293310582663011,0.0261230959774199,0.0731014008024999,2,5.59999999999999,0.849999999999994,-5.9333333333334
44,Bulgaria,2004,0.0439638139856999,0.0522082340785204,0.0801465174353009,-9.5,8.25,0.599999999999994,6.9333333333334
45,Bulgaria,2005,0.1040616411037,0.00704810877453888,0.1023502943818,-0.5,-5.95,5.95,6.2666666666666
46,Bulgaria,2006,0.0571083628358995,0.0453699337855316,0.105026999506899,1,-0.349999999999994,4.2,1.26666666666669
47,Bulgaria,2007,0.0764401973946001,0.0511360945069299,0.1068035883831,-0.5,3.59999999999999,-1.7,-4.99999999999999
48,Bulgaria,2008,0.0685898349415002,0.0620880707993301,0.123254134360401,0,-0.73214999999999,-1.0736667333333,5.0666666666667
49,Bulgaria,2009,-0.0358854326424005,-0.0546750983931705,0.0784342172146992,0.5,3.0692,0.661991976666599,-0.0666666666667055
50,Bulgaria,2010,0.037290784479401,-0.0511820373349998,0.0506868248340009,-2.5,-5.13705,0.245008089999999,-2.8
51,Bulgaria,2011,-0.0110693972684999,-0.0335581968772907,0.0421235932873998,1,5.3,2.6333333333334,1.73333333333331
52,Bulgaria,2012,0.0243101137347992,-0.00639939098413933,0.0397937700748994,-1,-0.649999999999992,0.466666666666612,-0.1666666666666
53,Bulgaria,2013,-0.0500948434293989,0.00428585379605906,0.037271081616101,-1.5,7.14999999999999,-2.56666666666661,-0.100000000000009
54,Bulgaria,2014,0.0313403685728986,0.0188169328163514,0.0369024740002999,1.1,-1.25,2.09999999999999,0.3333333333333
55,Bulgaria,2015,0.0355462593867006,0.0206518371435891,0.0359644287330987,2.9,-0.0999999999999943,-1.6666666666667,3.40000000000001
56,Bulgaria,2016,0.0467873947872999,-0.00184532058577069,0.0276328222997009,1,-2,-2.39999999999999,0
57,Bulgaria,2017,0.0408964858317003,0.0467820905569809,0.0280350663879005,11.2333333333333,2.84999999999999,-0.933333333333309,1.3333333333333
58,Bulgaria,2018,0.0333644982707,0.00521750777924979,0.0293402441043984,0.366666666666703,3.30000000000001,-1.69999999999999,-0.033333333333303
59,Bulgaria,2019,0.0385406745566002,0.0292495278312508,0.0285182675538014,-1.6,2.39999999999999,1.9666666666667,-0.299999999999997
61,Croatia,2001,0.0451416883778997,0.0212185307392083,0.0183070013243984,-11.5,-5.1,0.850000000000001,1.5333333333333
62,Croatia,2002,0.0723745118488015,0.0143012361891213,0.0238723864162012,5,-3.65,1.99999999999999,-0.933333333333302
63,Croatia,2003,0.0626190113587999,0.0329687912194494,0.0354181422983988,1,6.45,0.300000000000011,1.3333333333333
64,Croatia,2004,0.0279801947880003,0.0170204571363506,0.0353203013983006,-0.5,-8,1.59999999999999,4.2
65,Croatia,2005,0.0820414038185984,0.0175080131046901,0.0346463858438995,-0.5,-2.35,-7.0166666666667,0
66,Croatia,2006,0.0903850760571014,0.0415942438780697,0.0386569941858017,-1,3.65,-0.133333333333297,4.3333333333333
67,Croatia,2007,0.0775127394965001,0.041695349654999,0.0398729946037992,-0.5,0.75,-0.766666666666701,-0.200000000000003
68,Croatia,2008,0.0591448633331986,0.0314819039875012,0.0424591276716004,0,1.2252,1.58794474,-0.0666666666665918
69,Croatia,2009,-0.0520704620764985,0.000573179808839086,0.0267881115210002,3.5,1.83265,-0.155923223333296,0
70,Croatia,2010,-0.0107307590378003,-0.0204674693715301,0.0153785172026986,6.5,8.49215,-1.3986881833333,5.06666666666659
71,Croatia,2011,0.0324783192070992,-0.0291291677386987,0.0132623264211009,-1.5,3.75,3.2333333333333,1.60000000000001
72,Croatia,2012,0.000839755241900164,-0.0339806496637909,0.0108041879053005,0,-1.75,0.466666666666697,-0.033333333333303
73,Croatia,2013,-0.0501045670542002,-0.0229787005975997,0.0110465713834991,-0.5,1.34999999999999,-0.899999999999999,1.6666666666667
74,Croatia,2014,-0.00765322348189912,0.0288207405563998,0.00899593533480037,0.549999999999997,-4.45,-2.1666666666667,1.6333333333333
75,Croatia,2015,0.0432815246478988,-0.00807414273355001,0.0104111462517995,3.45,3.1,-0.466666666666697,-0.0666666666666913
76,Croatia,2016,0.0282637624098001,0.0224272901905103,0.0127853462099008,-2.5,-8.45,0.933333333333394,-1.60000000000001
77,Croatia,2017,0.0773883025414008,0.0328382800421405,0.0141126544406003,13.7333333333333,-4.65,0.133333333333304,0
78,Croatia,2018,-0.0164566206109011,0.027440938761659,0.0150244581446,-0.933333333333302,7.6333333333333,-0.266666666666701,0
79,Croatia,2019,0.0287868574171011,0.0388993684697603,0.0177219820111993,-5.1333333333333,6.5,0.733333333333398,-0.466666666666598
81,Cyprus,2001,0.0280475795020099,0.0419548474741402,0.0216927715756992,10,2.10000000000001,3.19999999999999,0.866666666666703
82,Cyprus,2002,-0.0295133204150098,0.0131317744731199,0.0274330750602001,10,-0.100000000000009,-1.34999999999999,0.599999999999994
83,Cyprus,2003,-0.0546116726176908,0.0374011693275698,0.0274613877960999,0,0.200000000000003,0.75,0.200000000000003
84,Cyprus,2004,0.021197979827571,0.0262392303708401,0.0304492096216009,0,3.55,-0.200000000000003,0
85,Cyprus,2005,0.14584755322152,0.0253148164004999,0.0337431659656993,-4.5,-0.599999999999994,-5.4666666666667,-1.93333333333339
86,Cyprus,2006,0.0345236889013201,0.0169499817010301,0.0448588209203997,-3.5,-4.5,-4.5333333333333,9.59999999999999
87,Cyprus,2007,0.0686624957701998,0.0655129053600305,0.0467202046790014,1.5,-1.6,0.100000000000009,-0.266666666666595
88,Cyprus,2008,0.0734526628131995,0.0440589266425802,0.0489870421981991,-0.5,-1.5312,0.0928183233332902,-0.200000000000003
89,Cyprus,2009,0.00796785406810052,-0.00437068913162086,0.0345922964636998,-1.5,-1.17475,0.229782063333403,-0.0666666666667055
90,Cyprus,2010,0.0278601543090993,0.0114400664541003,0.0314206363979004,0.5,-0.64405,-0.322600386666693,0.566666666666706
91,Cyprus,2011,-0.0029583089241001,0.0111781752568003,0.0223542841162008,1,1.35,4.8,1.7
92,Cyprus,2012,0.0267219564211008,-0.0300201599443506,0.0111289887999995,-6.5,0.100000000000001,-0.633333333333297,-0.1666666666667
93,Cyprus,2013,-0.109062009724401,-0.0694920152435694,0.00432563879589942,0,-3.95,-3.2,-3.43333333333331
94,Cyprus,2014,-0.0680251773496003,-0.0102205827981203,0.000758723800300842,0.5,1.7,0.366666666666603,-6.3333333333334
95,Cyprus,2015,0.0542200383420006,0.0277128917204497,0.00122805993770037,-0.5,0.149999999999999,-2.30000000000001,3.40000000000001
96,Cyprus,2016,0.0904100211855994,0.0610889594467903,0.0156510601019999,0,3.6,-1.26666666666659,1.6666666666667
97,Cyprus,2017,0.0197344427082999,0.0434832714547504,0.0229958411133993,-3.2666666666667,3.2,-0.0999999999999943,-0.3333333333333
98,Cyprus,2018,0.00711920055920068,0.0367849111552294,0.0171349528770008,-6.8333333333333,4.23333333333329,-0.6666666666667,3.3
99,Cyprus,2019,0.0417492964488009,0.0311275019530006,0.0176579741218994,-1.4333333333333,1,1.56666666666669,-0.299999999999997
101,Czech Republic,2001,0.0458278049223999,-0.0399650324053003,0.0111815300806999,-1,4.7,3.09999999999999,0.266666666666694
102,Czech Republic,2002,-0.0178716841861988,0.00772817611999876,0.00994670278489984,-1.5,-8.3,-7,0.0666666666667055
103,Czech Republic,2003,0.0448626731713997,-0.0123384047753987,0.00972980857650008,-2,6.15,-0.149999999999991,0.200000000000003
104,Czech Republic,2004,0.0280505536982005,0.00614754106319992,0.0105643441317991,-1,-2.45,1.34999999999999,-0.0666666666667055
105,Czech Republic,2005,0.0862107969094001,0.0219697070597995,0.0121245500909009,1,-12.3,-5.09999999999999,1.1333333333333
106,Czech Republic,2006,0.0224603327752995,0.00589890444359931,0.0131349413919004,1.5,11.15,-4.2,1.8666666666667
107,Czech Republic,2007,0.0849034034102996,0.0134133154213014,0.0181055134482993,0.5,5.7,1.0333333333334,-1.93333333333329
108,Czech Republic,2008,0.0511574326569004,0.0238105864868992,0.0160762399282,2.5,-0.0581999999999994,1.1629630299999,-0.200000000000003
109,Czech Republic,2009,-0.0401578006862007,-0.0228037759318003,0.00885800659860081,2,3.12535,0.675815720000003,-0.0666666666667055
110,Czech Republic,2010,0.0147431840600003,0.00401948510140038,0.00871998219889925,-2.5,1.28285,1.62788791666669,0.566666666666706
111,Czech Republic,2011,0.0307418620598998,0.00258616274579992,0.00831613691380007,-1.5,0.0499999999999972,3.09999999999999,0.033333333333303
112,Czech Republic,2012,-0.00430888278389929,-0.0111357603965008,0.00577557719650024,1,-3.5,0.100000000000009,-0.1666666666667
113,Czech Republic,2013,-0.0124666466457999,-0.00288643305399994,0.00397657343889968,-1,3.35,1.9666666666667,-0.100000000000009
114,Czech Republic,2014,0.0448056951306999,0.0137926739573011,0.00507346182570068,0.649999999999999,0,0.1666666666666,3.6666666666667
115,Czech Republic,2015,0.0261429855807993,0.00268439316520031,0.00921745467699964,3.85,-1.7,-0.400000000000006,0.0666666666667055
116,Czech Republic,2016,0.0232028590910005,0.0293076673575001,0.00557052745720021,1.5,3.85000000000001,-1.3,0
117,Czech Republic,2017,0.0634958192485993,0.0192836031528998,0.00751958715939871,-2.3,8.5,0.766666666666708,-0.3333333333334
118,Czech Republic,2018,0.0340033882284008,0.0148069859210995,0.0116762947911013,-0.033333333333303,2.5,1.26666666666669,-0.033333333333303
119,Czech Republic,2019,0.0236576330981002,0.00758634576130035,0.0113287643035989,-2.5,1.53333333333329,-0.8333333333334,-0.299999999999997
121,Denmark,2001,-0.000557873436401124,0.0153980257144397,0.0219603719691008,0,0.550000000000001,-0.399999999999992,0.0666666666667055
122,Denmark,2002,-0.00266520085539845,0.000110377646990401,0.0186549469780992,-1,3.25,-0.350000000000009,7.2
123,Denmark,2003,0.0191002292663001,-0.00846906802202874,0.0181924815586996,-1.5,2.2,7.65000000000001,0.599999999999994
124,Denmark,2004,0.0515476794137992,-0.000664342866871337,0.0189991924217008,0,-0.300000000000001,-2.40000000000001,-0.533333333333403
125,Denmark,2005,0.0876895913375009,0.0143402109086512,0.0211202402575008,0,0.150000000000002,2.6166666666667,0.133333333333411
126,Denmark,2006,0.0395724545072991,0.0302550031511597,0.0275938407227994,0,1.3,-1.26666666666669,0.733333333333292
127,Denmark,2007,0.0291725867321002,0.01156532232614,0.0255723587355998,0,1.1,-0.0666666666667055,4.73333333333341
128,Denmark,2008,0.0605641046072005,0.0131547210071492,0.0214119131405006,0,3.914183335,1.6259877233334,3.1333333333333
129,Denmark,2009,-0.0433468402778008,-0.0371076891259694,0.0117748783242995,2,0.510400000000001,-0.164051586666702,-0.0666666666667055
130,Denmark,2010,0.0653279909393998,-0.0150647034110705,0.00781921545780051,-3,1.025416665,-4.99526947,0.566666666666706
131,Denmark,2011,0.0218312694989997,0.0158145110569006,0.00800270261479952,0,2.4,0.766666666666708,0.033333333333303
132,Denmark,2012,-0.00688421380460014,-0.0103862962349801,0.00973126971959992,0,-11.45,-0.433333333333408,-0.1666666666666
133,Denmark,2013,-0.0184541290229987,0.00718925934589976,0.0104738959812991,0.5,2.95,-0.799999999999997,-1.76666666666671
134,Denmark,2014,0.00234786836129963,0.00494335592163964,0.0111627001826005,-0.150000000000006,-2.95,-0.066666666666606,2
135,Denmark,2015,-0.00341005038029962,0.0112858573747996,0.0129375513014995,1.15000000000001,0.800000000000001,2.60000000000001,-3.26666666666669
136,Denmark,2016,0.0337865414428986,0.0213357849265812,0.0160899338621014,0.5,0.199999999999999,-3.76666666666671,0
137,Denmark,2017,0.058172789656,0.0132432154768196,0.0169920682667986,-13.4666666666667,25.2,-0.199999999999989,-0.3333333333333
138,Denmark,2018,0.00848100042500022,0.000791361153620329,0.0184580281905014,4.1333333333334,3.4666666666667,-1.1666666666666,-0.0333333333334025
139,Denmark,2019,0.0429822684507002,0.0141601011347596,0.0187890036036986,-0.900000000000006,1.4666666666666,-0.1666666666667,-0.299999999999997
141,Estonia,2001,0.0509954070913405,0.00746118508357974,0.0267700891250993,0,24.7,2.84999999999999,0
142,Estonia,2002,0.0624752858677908,0.00528699491365003,0.0380054193452004,0,-6.25,3.2,6.6666666666666
143,Estonia,2003,0.0647907248181596,0.0276848432944092,0.0455364286563,-0.5,2.14999999999999,-0.650000000000006,-0.266666666666595
144,Estonia,2004,0.0449077769491293,0.00374361732910167,0.0436411290854988,0,0.300000000000011,-1.8,0
145,Estonia,2005,0.1897409026673,0.0378279532291383,0.0521228970258001,-0.5,2.59999999999999,-10.9166666666667,0.199999999999989
146,Estonia,2006,0.0781109020812014,0.0508024461272409,0.0655044736729007,2.5,-1.65000000000001,-0.6666666666666,-0.799999999999997
147,Estonia,2007,0.111724058928999,0.00697171275193931,0.0653438481839004,12,2.55000000000001,-1.09999999999999,1.40000000000001
148,Estonia,2008,0.0163645419462011,-0.0124176135374192,0.0445506229456996,1.5,0.829149999999999,1.8151619766666,-3.5333333333334
149,Estonia,2009,-0.115852708464901,-0.17446848137546,0.0104966020091997,-1,0.439799999999991,-4.66067674,-0.066666666666606
150,Estonia,2010,0.0537796258465999,-0.0229112092090205,0.0101072201908003,-4.5,-3.21894999999999,-0.954485236666599,0.566666666666606
151,Estonia,2011,0.109654905921401,0.0921304485420205,0.0276348217073998,0,-4.75,4.73333333333329,0.0333333333334025
152,Estonia,2012,0.0537590735966997,0.00454999754924934,0.0324399198043999,-0.5,-7.5,-1.1666666666667,-0.1666666666667
153,Estonia,2013,0.00826902851779998,0.00801608139066978,0.029954989173401,2,9,-0.200000000000003,-0.100000000000009
154,Estonia,2014,0.0196847298321003,0.0098690945131299,0.0257320126694989,2.59999999999999,0.25,-0.299999999999997,0.3333333333333
155,Estonia,2015,-0.0254201117434008,0.0291715787552107,0.0225102123590002,1.90000000000001,-1.3,2.4666666666667,0.0666666666667055
156,Estonia,2016,0.0286686987993008,0.0112904714180004,0.0245048391417004,0.5,1.5,0.200000000000003,0
157,Estonia,2017,0.0573155461587991,0.0342122530611597,0.0277339339397003,-1.06666666666671,10.5333333333333,0.400000000000006,-0.3333333333333
158,Estonia,2018,0.0437490098530997,-0.00772931471747995,0.0275734448193994,1.56666666666671,-1.23333333333329,-1.3666666666667,-0.0333333333334025
159,Estonia,2019,0.049598801538,0.01046583996553,0.0325085760055011,-3.1333333333333,-0.766666666666708,-1.1333333333333,-3.6333333333333
161,Finland,2001,0.00722204044979868,0.0131310823530999,0.0249067905789993,1,23.2,0.0499999999999972,0
162,Finland,2002,-0.00425753014510022,0.0142618041190694,0.0213448527092996,1,0,5.84999999999999,7.2
163,Finland,2003,0.0189606553143005,0.00529852311220047,0.0219442940468007,-0.5,-0.349999999999994,0.0499999999999972,0.599999999999994
164,Finland,2004,0.0459815714281007,0.0123102869327099,0.0235273773008995,-1,-0.200000000000003,0.650000000000006,-0.533333333333303
165,Finland,2005,0.0657227333341002,0.0148726178458194,0.0239697318412997,0,-1.1,-11.2,0.133333333333312
166,Finland,2006,0.0207974696419999,0.0214509143421306,0.0233329661521999,0,3,3.56666666666671,0.733333333333292
167,Finland,2007,0.0839176380011999,0.0255202152637892,0.0279260199449016,-0.5,0.149999999999999,-0.933333333333408,4.73333333333341
168,Finland,2008,0.0376225966526995,0.0252594710612009,0.0260469031871988,0,3.39615000000001,-0.232445709999993,-0.200000000000003
169,Finland,2009,-0.0867917486290004,-0.0328276577455497,0.0166031404049996,1.5,-0.263800000000003,-0.942712803333308,-0.0666666666667055
170,Finland,2010,0.0344383083664006,0.00339186303133943,0.0174607313194013,-4.5,2.71765,-3.19150815333329,2.23333333333331
171,Finland,2011,0.0184197198405993,0.01652948352951,0.0190760310768994,-0.5,-3.25,-0.200000000000003,3.3666666666667
172,Finland,2012,-0.00921152278739967,0.00728666921795984,0.0181899389868008,1.5,-10.6,0.5,-0.1666666666667
173,Finland,2013,-0.0437618901097991,-0.00695853793255985,0.0149944025118991,1,4.25,0.3333333333333,1.56666666666669
174,Finland,2014,-0.0028127327533003,-0.000520260796349703,0.0137023007187995,-0.299999999999997,-2.55,-0.200000000000003,0.3333333333333
175,Finland,2015,0.0161540881821995,0.00355196440949079,0.0135818066168003,-2.2,-2,2.76666666666669,0.0666666666667055
176,Finland,2016,0.0247961986326004,0.00961836710570907,0.0178525279865003,0,-1.35,-0.3333333333334,-1.6666666666667
177,Finland,2017,0.0314069818169003,0.0123245699498504,0.0197236677124995,-1.73333333333331,14.3166666666667,0.800000000000011,-0.3333333333333
178,Finland,2018,0.0104769410981991,0.0293590196913804,0.0208745645755002,-0.599999999999994,2,-0.766666666666609,-0.033333333333303
179,Finland,2019,0.0181063329656013,0.0177586059933788,0.0192337596943997,0.599999999999994,3.5,-0.633333333333397,-0.299999999999997
181,France,2001,0.0263938377407005,0.00590484427380034,0.021683780209802,-0.5,2.6,0.549999999999997,0.0666666666665989
182,France,2002,0.00530401068239961,-0.0119447652649995,0.0193801173981996,0.5,0.0500000000000007,-1.15000000000001,0.533333333333403
183,France,2003,-0.0244808524924007,0.00861738829000025,0.0190644996687013,0,2.05,2.15000000000001,0.599999999999994
184,France,2004,0.0202971629152007,0.0226523866679997,0.0197406219215992,-2,0.899999999999999,-0.299999999999997,6.1333333333333
185,France,2005,0.0809522428651004,0.0127816436549999,0.0201621874244999,3,-1.55,-8.10000000000001,0.133333333333312
186,France,2006,0.0249819855265994,0.00472865928669997,0.0209637556597002,1,1.05,6.60000000000001,-5.93333333333331
187,France,2007,0.0456655709141991,0.0340781682249993,0.0225568148289987,2,1,-1.93333333333331,3.06666666666671
188,France,2008,0.00871839155080068,0.0146093534631007,0.0211935233696998,-0.5,3.2912,0.432864100000003,6.4666666666666
189,France,2009,-0.0320657532284994,-0.012916503439401,0.0149560701793021,-0.5,-0.517774500000002,-3.9815803966667,-0.066666666666606
190,France,2010,0.0409935002137001,0.0125911353797008,0.0155253219506974,3,2.2265745,2.34871629666671,-2.76666666666669
191,France,2011,0.0282507014029001,0.0186067131597003,0.015651591563703,0,-0.549999999999997,0,1.7
192,France,2012,0.0131233768794985,0.00667252167929888,0.0148464870188967,-0.5,-4.8,-1.0333333333333,-0.1666666666667
193,France,2013,-0.00960735319839934,-0.00313714168919965,0.0136394686478027,1,-0.25,-0.6666666666667,3.23333333333339
194,France,2014,0.00199986268710006,0.00433165038450056,0.0129338235489982,-0.0499999999999972,-2.3,-2.60000000000001,2
195,France,2015,0.0183822038345003,0.00971008159690001,0.012545919245202,0.549999999999997,-2,-2.19999999999999,0.066666666666606
196,France,2016,0.012889842771699,0.0150832163948991,0.0129582933164976,-1,0.100000000000001,-0.0666666666667055,0
197,France,2017,0.0369307306525002,0.00583679843410145,0.0142576307816995,1.3,10.4333333333333,0.900000000000006,-0.3333333333333
198,France,2018,0.0112005638744002,0.0102542395593996,0.0147234541969006,-1.8666666666667,1.4,1.03333333333329,1.6333333333333
